Driver Name,Fantasy Points,Qualifying Position,Sprint Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,51,NC,5,1,0,1
Max Verstappen,61,1,2,2,0,1
Valtteri Bottas,40,2,1,3,0,0
Sergio Perez,36,3,4,4,1,0
Daniel Ricciardo,-11,8,11,DNF,0,0
Charles Leclerc,28,6,7,5,0,1
Sebastian Vettel,9,11,10,11,0,1
Fernando Alonso,14,9,12,9,0,0
Carlos Sainz,27,5,3,6,0,0
Lance Stroll,-11,15,14,DNF,0,0
Lando Norris,13,7,6,10,0,1
Piere Gasly,24,4,8,7,0,1
Esteban Ocon,18,10,9,8,0,1
Kimi Raikkonen,14,13,18,12,0,1
Yuki Tsunoda,1,12,15,15,0,0
Antonio Giovinazzi,6,14,13,14,0,0
Nicholas Latifi,7,16,16,16,0,0
George Russell,14,17,17,13,0,1
Mick Schumacher,6,18,19,18,0,0
Nikita Mazepin,9,19,20,17,0,1
