Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,49,1,1,1,1
Max Verstappen,37,3,2,0,1
Valtteri Bottas,26,2,3,0,0
Sergio Perez,-6,5,DNF,0,0
Daniel Ricciardo,26,11,5,0,1
Charles Leclerc,16,4,7,0,1
Sebastian Vettel,-12,17,DNF,0,0
Fernando Alonso,3,13,13,0,0
Carlos Sainz,17,15,8,0,0
Lance Stroll,15,18,11,0,1
Lando Norris,5,7,10,0,0
Piere Gasly,22,6,6,0,1
Esteban Ocon,33,9,4,0,1
Kimi Raikkonen,0,12,15,0,0
Yuki Tsunoda,-3,8,14,0,0
Antonio Giovinazzi,14,10,9,0,1
Nicholas Latifi,13,16,12,0,1
George Russell,-11,14,DNF,0,0
Mick Schumacher,-12,19,DNF,0,0
Nikita Mazepin,-14,20,DNF,0,1
